sample,mode,modalht,control,mancontrol,iithreshold,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,ctrlmode,ctrlmedian,skewmode,skewctrlmode,skewmedian,skewctrlmedian,sampleA,sampleB,propmode,ctrlA,ctrlB,propctrlmode,ii,iictrl
C02_2022-12-16_JO_Exp15A-C_FA2_C02_2022-12-16_1.fsa,161.454117,215,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,5111,150.0870564,15.79689769,154.684117,151.6752819,14.203308,112.594117,173.7707837,61.17666667,-0.769574553,-0.231636836,0.220962648,157.5974503,155.6607837,-0.719575502,-0.475434738,-0.873031024,-1.05851048,3856,1470,0.276004506,3046,2065,0.404030522,-10.33958325,-6.482916579
C02_2022-12-16_JO_Exp15A-C_FA4_C02_2022-12-16_1.fsa,158.5907837,269,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,5648,153.139513,11.34931618,156.6774503,154.1109909,10.000137,122.6607837,171.8407837,49.18,-0.714843029,-0.338748679,0.151015787,157.5974503,155.6607837,-0.480317102,-0.392793473,-0.935193962,-0.666455304,3514,2403,0.406117965,3002,2646,0.468484419,-3.93606836,-2.942735026
C02_2022-12-16_JO_Exp15A-C_FA3_C02_2022-12-16_1.fsa,161.5207837,176,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3518,153.7934926,10.59331092,156.734117,154.4700995,10.096506,130.7307837,170.9007837,40.17,-0.518480356,-0.836260477,0.178600965,157.5974503,155.6607837,-0.72945004,-0.35909054,-0.832777711,-0.528812311,2603,1091,0.295343801,1844,1674,0.475838545,-7.675251208,-3.751917874
C02_2022-12-16_JO_Exp15A-C_FA1_C02_2022-12-16_1.fsa,173.8574503,346,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3658,152.3923455,14.91821133,155.7707837,153.4998866,12.740476,117.0607837,173.8574503,56.79666667,-0.666542223,-0.276772393,0.246657829,157.5974503,155.6607837,-1.438852442,-0.348909442,-0.679392064,-0.657271449,3658,346,0.086413586,1961,1697,0.463914707,-14.66443409,1.595565906
C03_2022-12-16_JO_Exp15A-C_FA4_C03_2022-12-16_1.fsa,161.504117,210,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,4804,154.0163485,11.21283897,156.7674503,154.5486973,11.480266,128.8907837,173.8774503,44.98666667,-0.40030364,-0.886316833,0.161775997,157.5974503,155.6607837,-0.667785255,-0.319375126,-0.736058513,-0.439969359,3435,1579,0.314918229,2504,2300,0.478767694,-7.227873613,-3.321206946
C03_2022-12-16_JO_Exp15A-C_FA3_C03_2022-12-16_1.fsa,159.614117,197,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,5067,150.322873,13.16481149,153.814117,151.0914035,14.223076,122.1174503,171.9207837,49.80333333,-0.440091029,-0.975189822,0.184943551,157.5974503,155.6607837,-0.705763543,-0.552577402,-0.795585413,-1.2164042,3578,1686,0.320288754,3034,2033,0.401223604,-8.146700098,-6.130033431
C03_2022-12-16_JO_Exp15A-C_FA1_C03_2022-12-16_1.fsa,173.8774503,53,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,317,158.1581023,15.19855349,160.6007837,161.2469144,2.871302,117.0307837,173.8774503,56.84666667,-1.929875106,2.945798669,0.853635809,157.5974503,155.6607837,-1.034266062,0.036888507,-0.482154053,0.492938742,317,53,0.143243243,34,283,0.892744479,-15.71934805,0.560651945
C04_2022-12-16_JO_Exp15A-C_FA4_C04_2022-12-16_1.fsa,159.5607837,168,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3654,153.7589482,10.40654505,156.7274503,154.4393735,9.968014,129.814117,171.0874503,41.27333333,-0.527150686,-0.762684837,0.172156053,157.5974503,155.6607837,-0.557517928,-0.368854608,-0.855760125,-0.548261336,2430,1392,0.364207221,1942,1712,0.468527641,-5.732245448,-3.768912114
C04_2022-12-16_JO_Exp15A-C_FA2_C04_2022-12-16_1.fsa,162.514117,83,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,1023,159.6979163,4.133045987,159.5807837,159.699351,5.569634,151.914117,167.224117,15.31,-0.010935863,-0.992243408,0.129220799,157.5974503,155.6607837,-0.681386253,0.508212576,0.085021519,2.930380617,764,342,0.309222423,381,642,0.627565982,-2.816200717,2.10046595
C04_2022-12-16_JO_Exp15A-C_FA1_C04_2022-12-16_1.fsa,173.954117,78,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,323,160.4063771,10.34256126,159.574117,161.7242071,2.935548,135.5307837,173.954117,38.42333333,-0.80003701,0.925090345,0.575475503,157.5974503,155.6607837,-1.309901831,0.271589083,0.241408305,1.376523651,323,78,0.194513716,64,259,0.801857585,-13.54773994,2.808926729
